ref,core,lat_n,lon_e,water_depth,species,depth,age,d18o
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,160,1.792,1.585
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,180,1.968,1.78
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,190,2.056,1.57
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,200,2.144,1.78
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,210,2.232,1.53
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,270,2.76,1.41
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,280,2.848,1.14
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,300,3.0589,1.8
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,310,3.1818,1.99
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,360,3.7963,1.41
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,370,3.9192,1.59
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,380,4.0421,1.7
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,390,4.165,0.755
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,400,4.4431,1.76
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,410,4.7212,1.64
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,430,5.2774,1.33
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,440,5.5555,1.865
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,470,6.3898,1.85
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,500,7.15788,2.1
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,540,8.00542,1.14
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,560,8.42486,1.63
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,570,8.59343,1.32
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,580,8.762,0.69
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,600,9.284,0.76
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,610,9.545,0.87
haddam2018,MD07-3100,-41.6,-74.95,1609,gb,620,9.64076,0.66
