age,global,global_sigma,nh,nh_sigma,sh,sh_sigma,deltaT,deltaT_sigma,deltaT_atl,deltaT_atl_sigma
6.5,0.133169752,0.11526164,0.236032189,0.142327339,-0.029036002,0.174177001,0.265068191,0.214083969,0.004451467,0.321783036
6.6,0.138927494,0.112799274,0.237451431,0.139755468,-0.016436795,0.175064557,0.253888226,0.216411152,-0.029877565,0.31894557
6.7,0.143500033,0.108227057,0.247551782,0.137832681,-0.020581168,0.162956614,0.26813295,0.207426738,-0.023132521,0.319811134
6.8,0.16130778,0.108420384,0.274253235,0.139698798,-0.016798077,0.166368985,0.291051312,0.214523899,0.038072063,0.310159444
6.9,0.159509177,0.108666985,0.272956582,0.141613496,-0.019388216,0.165849242,0.292344798,0.216566167,0.045993185,0.320417134
7,0.157050678,0.109468917,0.27391828,0.144569192,-0.027240089,0.162598051,0.30115837,0.215867972,0.021511085,0.326643405
7.1,0.161982247,0.107699437,0.287091744,0.140332266,-0.035305324,0.164841944,0.322397069,0.215191187,0.053344419,0.313588264
7.2,0.175302606,0.104552361,0.305866964,0.136985166,-0.030586838,0.165199791,0.336453801,0.216613031,0.089919328,0.314038368
7.3,0.176916443,0.104281976,0.319868357,0.135062413,-0.048507176,0.159592495,0.368375533,0.206966011,0.172554175,0.29401722
7.4,0.157215888,0.103394538,0.30486147,0.135344238,-0.075609267,0.159482118,0.380470737,0.209164667,0.223060799,0.29560358
7.5,0.140103609,0.10555849,0.286483325,0.137327708,-0.090725378,0.160334267,0.377208703,0.209009118,0.174371157,0.294704789
7.6,0.119637129,0.102913956,0.267230999,0.130167692,-0.113106481,0.161840577,0.380337479,0.204606867,0.174082658,0.29157179
7.7,0.121800705,0.104454137,0.28146802,0.130139521,-0.12998175,0.168313707,0.41144977,0.209743923,0.225886792,0.30472518
7.8,0.122336002,0.102217997,0.283678294,0.127312134,-0.132087757,0.163113683,0.41576605,0.203092417,0.230738477,0.301327775
7.9,0.111820254,0.105725541,0.258103461,0.132592441,-0.118856545,0.160712572,0.376960006,0.201099429,0.191690144,0.284530132
8,0.118050976,0.102931059,0.251746523,0.13201117,-0.092776099,0.164991987,0.344522622,0.211607583,0.223655516,0.281231315
8.1,0.099274331,0.105942462,0.208610316,0.13469828,-0.073139684,0.167256185,0.28175,0.212615024,0.164577343,0.295718107
8.2,0.079132945,0.10477809,0.160199747,0.135244176,-0.048702853,0.162794908,0.2089026,0.210266256,0.067272654,0.29667686
8.3,0.123838723,0.104882334,0.210659412,0.134954196,-0.01307049,0.168300249,0.223729902,0.216556384,0.151840004,0.312227653
